ruta,Origen,origen_localidad,origen_pais,origen_provincia,origen_continente,origen_lat,origen_lon,Destino,destino_localidad,destino_pais,destino_provincia,destino_continente,destino_lat,destino_lon
San Carlos de Bariloche (Argentina) - Santa Fe (Argentina),San Carlos de Bariloche (Argentina),San Carlos de Bariloche,Argentina,Río Negro,América del Sur,-41.1334781,-71.3101474,Santa Fe (Argentina),Santa Fe,Argentina,Santa Fe,América del Sur,-30.3154739,-61.1645076
Salta (Argentina) - San Salvador de Jujuy (Argentina),Salta (Argentina),Salta,Argentina,Salta,América del Sur,-25.1076701,-64.3494964,San Salvador de Jujuy (Argentina),San Salvador de Jujuy,Argentina,Jujuy,América del Sur,-24.1852569,-65.2994789
Córdoba (Argentina) - Rosario (Argentina),Córdoba (Argentina),Córdoba,Argentina,Córdoba,América del Sur,-31.4166867,-64.1834193,Rosario (Argentina),Rosario,Argentina,Santa Fe,América del Sur,-32.9593609,-60.6617024
Ezeiza (Argentina) - Rosario (Argentina),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Rosario (Argentina),Rosario,Argentina,Santa Fe,América del Sur,-32.9593609,-60.6617024
El Calafate (Argentina) - Rosario (Argentina),El Calafate (Argentina),El Calafate,Argentina,Santa Cruz,América del Sur,-50.3387375,-72.2737216,Rosario (Argentina),Rosario,Argentina,Santa Fe,América del Sur,-32.9593609,-60.6617024
Ciudad de Buenos Aires (Argentina) - Córdoba (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Córdoba (Argentina),Córdoba,Argentina,Córdoba,América del Sur,-31.4166867,-64.1834193
Ciudad de Buenos Aires (Argentina) - Mendoza (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Mendoza (Argentina),Mendoza,Argentina,Mendoza,América del Sur,-34.787093,-68.4381868
Ciudad de Buenos Aires (Argentina) - San Miguel de Tucumán (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,San Miguel de Tucumán (Argentina),San Miguel de Tucumán,Argentina,Tucumán,América del Sur,-26.8303703,-65.2038133
Ciudad de Buenos Aires (Argentina) - Resistencia (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Resistencia (Argentina),Resistencia,Argentina,Chaco,América del Sur,-27.6048829,-59.1932003
Ciudad de Buenos Aires (Argentina) - Puerto Iguazú (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Puerto Iguazú (Argentina),Puerto Iguazú,Argentina,Misiones,América del Sur,-25.6107508,-54.5764199
Ciudad de Buenos Aires (Argentina) - Salta (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Salta (Argentina),Salta,Argentina,Salta,América del Sur,-25.1076701,-64.3494964
Ciudad de Buenos Aires (Argentina) - Comodoro Rivadavia (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Comodoro Rivadavia (Argentina),Comodoro Rivadavia,Argentina,Chubut,América del Sur,-45.8632024,-67.4752615
Ciudad de Buenos Aires (Argentina) - Esquel (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Esquel (Argentina),Esquel,Argentina,Chubut,América del Sur,-42.9173055,-71.3216508
Ciudad de Buenos Aires (Argentina) - Trelew (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Trelew (Argentina),Trelew,Argentina,Chubut,América del Sur,-43.2531242,-65.3094407
Ciudad de Buenos Aires (Argentina) - El Calafate (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,El Calafate (Argentina),El Calafate,Argentina,Santa Cruz,América del Sur,-50.3387375,-72.2737216
Ciudad de Buenos Aires (Argentina) - Río Gallegos (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Río Gallegos (Argentina),Río Gallegos,Argentina,Santa Cruz,América del Sur,-51.6268852,-69.105804
